interface,name,entity_type,arguments,idl_type,syntactic_form,use_counter,secure_context,high_entropy,source_file,source_line
AccessibleNode,multiline,attribute,,BooleanOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,multiselectable,attribute,,BooleanOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,onaccessibleclick,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,onaccessiblecontextmenu,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,onaccessibledecrement,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,onaccessiblefocus,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,onaccessibleincrement,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,onaccessiblescrollintoview,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,orientation,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,owns,attribute,,AccessibleNodeListOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,placeholder,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,posInSet,attribute,,UnsignedLongOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,pressed,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,readOnly,attribute,,BooleanOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,relevant,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,removeChild,operation,(AccessibleNode),Void,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,required,attribute,,BooleanOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,role,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,roleDescription,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,rowCount,attribute,,LongOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,rowIndex,attribute,,UnsignedLongOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,rowSpan,attribute,,UnsignedLongOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,selected,attribute,,BooleanOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,setSize,attribute,,LongOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,sort,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,valueMax,attribute,,DoubleOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,valueMin,attribute,,DoubleOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,valueNow,attribute,,DoubleOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNode,valueText,attribute,,StringOrNull,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,
AccessibleNodeList,,interface,,,,,,,third_party/blink/renderer/core/aom/accessible_node_list.idl,11
AccessibleNodeList,,operation,"(UnsignedLong,AccessibleNode)",Void,,,,,third_party/blink/renderer/core/aom/accessible_node_list.idl,
